time,Historical,Dry,Drought,Variable,Rain Season extend a month,Rain Season shorten a month,Demand
Jan-95,1215.849722,972.6797776,607.924861,1392.945266,1094.26475,1362.829872,74079.46154
Feb-95,391.6852485,313.3481988,195.8426243,403.9478982,352.5167237,538.6653984,73654.75
Mar-95,1783.488374,1426.790699,891.7441871,2074.111649,1605.139537,1930.468524,96778.56522
Apr-95,708.6076558,566.8861246,354.3038279,784.254787,637.7468902,855.5878057,94964.52174
May-95,1175.841199,940.6729589,587.9205993,1344.935038,1058.257079,587.9205995,135653.2273
Jun-95,512.0856939,409.6685551,256.042847,548.4284327,1039.632914,512.0856939,176285.9231
Jul-95,212.0782976,169.6626381,106.0391488,188.4195572,212.0782976,212.0782976,246166.2414
Aug-95,161.1190501,128.8952401,80.55952506,127.2684601,161.1190501,161.1190501,208030.6552
Sep-95,103.356509,82.6852072,51.6782545,57.9534108,103.356509,103.356509,138451.6552
Oct-95,136.3177722,109.0542178,68.15888612,97.5069267,136.3177722,136.3177722,112330.7037
Nov-95,94.83553253,75.86842603,47.41776627,47.72823904,94.83553253,94.83553253,110299.152
Dec-95,189.7900731,151.8320585,94.89503656,161.6736877,189.7900731,189.7900731,93928.69259
Jan-96,262.8173803,210.2539042,131.4086901,249.3064563,236.5356423,345.9829338,74079.46154
Feb-96,1003.174401,802.5395205,501.5872003,1137.734881,902.8569609,1086.339954,73654.75
Mar-96,656.9700624,525.5760499,328.4850312,722.2896749,591.2730562,740.1356159,96778.56522
Apr-96,612.6712988,490.137039,306.3356494,669.1311585,551.4041689,695.8368523,94964.52174
May-96,665.3244276,532.2595421,332.6622138,732.3149131,598.7919848,332.6622138,135653.2273
Jun-96,156.392447,125.1139576,78.19622351,121.5965364,476.488204,156.392447,176285.9231
Jul-96,147.0701497,117.6561197,73.53507484,110.4097796,147.0701497,147.0701497,246166.2414
Aug-96,140.3144593,112.2515674,70.15722965,102.3029512,140.3144593,140.3144593,208030.6552
Sep-96,134.925378,107.9403024,67.46268902,95.83605366,134.925378,134.925378,138451.6552
Oct-96,138.348843,110.6790744,69.17442149,99.94421159,138.348843,138.348843,112330.7037
Nov-96,229.4058699,183.5246959,114.7029349,209.2126439,229.4058699,229.4058699,110299.152
Dec-96,1296.937841,1037.550273,648.4689206,1490.251009,1296.937841,1296.937841,93928.69259
Jan-97,2306.711238,1845.368991,1153.355619,2701.979086,2076.040114,2337.122754,74079.46154
Feb-97,731.6912508,585.3530006,365.8456254,811.9551009,658.5221257,762.1027666,73654.75
Mar-97,358.158697,286.5269576,179.0793485,363.7160364,322.3428273,388.5702128,96778.56522
Apr-97,361.4532366,289.1625893,180.7266183,367.6694839,325.3079129,391.8647524,94964.52174
May-97,243.292126,194.6337008,121.646063,225.8761512,218.9629134,121.646063,135653.2273
Jun-97,155.1428625,124.11429,77.57143124,120.097035,555.2735173,155.1428625,176285.9231
Jul-97,114.2516961,91.40135687,57.12584804,71.0276353,114.2516961,114.2516961,246166.2414
Aug-97,130.3653862,104.292309,65.18269311,90.36406346,130.3653862,130.3653862,208030.6552
Sep-97,111.3657508,89.09260068,55.68287542,67.56450101,111.3657508,111.3657508,138451.6552
Oct-97,157.707486,126.1659888,78.85374299,123.1745832,157.707486,157.707486,112330.7037
Nov-97,204.3566586,163.4853269,102.1783293,179.1535903,204.3566586,204.3566586,110299.152
Dec-97,278.5244596,222.8195676,139.2622298,268.1549515,278.5244596,278.5244596,93928.69259
Jan-98,768.2981273,614.6385019,384.1490637,855.8833528,691.4683146,809.9202015,74079.46154
Feb-98,1012.217029,809.7736233,506.1085145,1148.586035,910.9953261,1053.839103,73654.75
Mar-98,889.5375795,711.6300636,444.7687897,1001.370695,800.5838216,931.1596537,96778.56522
Apr-98,724.1917601,579.3534081,362.09588,802.9557121,651.7725841,765.8138343,94964.52174
May-98,332.9765934,266.3812747,166.4882967,333.4975121,299.6789341,166.4882967,135653.2273
Jun-98,808.3562374,646.6849899,404.1781187,903.9530848,1181.078346,808.3562374,176285.9231
Jul-98,329.6245333,263.6996266,164.8122666,329.4750399,329.6245333,329.6245333,246166.2414
Aug-98,234.1344565,187.3075652,117.0672282,214.8869478,234.1344565,234.1344565,208030.6552
Sep-98,173.9024983,139.1219986,86.95124914,142.6085979,173.9024983,173.9024983,138451.6552
Oct-98,152.8678252,122.2942602,76.43391262,117.3669903,152.8678252,152.8678252,112330.7037
Nov-98,333.6192369,266.8953895,166.8096184,334.2686842,333.6192369,333.6192369,110299.152
Dec-98,467.7690791,374.2152633,233.8845396,495.2484949,467.7690791,467.7690791,93928.69259
Jan-99,486.9730116,389.5784093,243.4865058,518.293214,438.2757104,551.8916556,74079.46154
Feb-99,934.4750196,747.5800157,467.2375098,1055.295624,841.0275176,999.3936636,73654.75
Mar-99,701.8598993,561.4879194,350.9299496,776.1574791,631.6739094,766.7785433,96778.56522
Apr-99,488.1829268,390.5463415,244.0914634,519.7451122,439.3646341,553.1015708,94964.52174
May-99,519.349152,415.4793216,259.674576,557.1445824,467.4142368,259.674576,135653.2273
Jun-99,270.5231516,216.4185213,135.2615758,258.5533819,583.6071525,270.5231516,176285.9231
Jul-99,178.0538958,142.4431166,89.0269479,147.590275,178.0538958,178.0538958,246166.2414
Aug-99,181.6320712,145.305657,90.8160356,151.8840855,181.6320712,181.6320712,208030.6552
Sep-99,103.1462614,82.51700915,51.57313072,57.70111373,103.1462614,103.1462614,138451.6552
Oct-99,137.3471919,109.8777535,68.67359594,98.74223027,137.3471919,137.3471919,112330.7037
Nov-99,204.7414513,163.793161,102.3707256,179.6153415,204.7414513,204.7414513,110299.152
Dec-99,172.6092775,138.087422,86.30463873,141.056733,172.6092775,172.6092775,93928.69259
Jan-00,346.4145858,277.1316687,173.2072929,349.623103,311.7731272,397.9125927,74079.46154
Feb-00,827.1773607,661.7418885,413.5886803,926.5384328,744.4596246,878.6753676,73654.75
Mar-00,671.5902015,537.2721612,335.7951007,739.8338418,604.4311814,723.0882084,96778.56522
Apr-00,542.9266304,434.3413043,271.4633152,585.4375565,488.6339674,594.4246373,94964.52174
May-00,411.9840551,329.5872441,205.9920276,428.3064661,370.7856496,205.9920276,135653.2273
Jun-00,203.1050906,162.4840725,101.5525453,177.6517087,483.114374,203.1050906,176285.9231
Jul-00,177.4132358,141.9305886,88.7066179,146.821483,177.4132358,177.4132358,246166.2414
Aug-00,153.8615425,123.089234,76.93077123,118.559451,153.8615425,153.8615425,208030.6552
Sep-00,140.822227,112.6577816,70.41111349,102.9122724,140.822227,140.822227,138451.6552
Oct-00,206.4432664,165.1546131,103.2216332,181.6575197,206.4432664,206.4432664,112330.7037
Nov-00,212.5483794,170.0387036,106.2741897,188.9836553,212.5483794,212.5483794,110299.152
Dec-00,203.3153381,162.6522705,101.6576691,177.9040058,203.3153381,203.3153381,93928.69259
Jan-01,159.3954168,127.5163335,79.69770842,125.2001002,143.4558751,187.0578466,74079.46154
Feb-01,182.8697549,146.295804,91.43487747,153.3693059,164.5827794,210.5321847,73654.75
Mar-01,299.6483886,239.7187109,149.8241943,293.5036664,269.6835497,327.3108184,96778.56522
Apr-01,235.8541228,188.6832982,117.9270614,216.9505474,212.2687105,263.5165526,94964.52174
May-01,221.2994381,177.0395505,110.6497191,199.4849258,199.1694943,110.6497191,135653.2273
Jun-01,92.29669411,73.83735529,46.14834705,44.68163293,202.2034062,92.29669411,176285.9231
Jul-01,93.5066093,74.80528744,46.75330465,46.13353115,93.5066093,93.5066093,246166.2414
Aug-01,81.40349049,65.12279239,40.70174524,31.60978859,81.40349049,81.40349049,208030.6552
Sep-01,67.10864007,53.68691206,33.55432004,14.45596809,67.10864007,67.10864007,138451.6552
Oct-01,137.279754,109.8238032,68.639877,98.66130479,137.279754,137.279754,112330.7037
Nov-01,128.883736,103.1069888,64.44186799,88.58608318,128.883736,128.883736,110299.152
Dec-01,308.788207,247.0305656,154.3941035,304.4714484,308.788207,308.788207,93928.69259
Jan-02,406.3212553,325.0570043,203.1606277,421.5111064,365.6891298,436.1910365,74079.46154
Feb-02,245.0851806,196.0681445,122.5425903,228.0278168,220.5766625,274.9549618,73654.75
Mar-02,356.1871303,284.9497042,178.0935652,361.3501564,320.5684173,386.0569115,96778.56522
Apr-02,367.6476056,294.1180845,183.8238028,375.1027268,330.882845,397.5173868,94964.52174
May-02,238.9582495,191.1665996,119.4791247,220.6754994,215.0624246,119.4791248,135653.2273
Jun-02,96.04544772,76.83635818,48.02272386,49.18013727,257.4653899,96.04544772,176285.9231
Jul-02,83.67257733,66.93806186,41.83628867,34.3326928,83.67257733,83.67257733,246166.2414
Aug-02,98.04478298,78.43582638,49.02239149,51.57933958,98.04478298,98.04478298,208030.6552
